time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1767983556.45080590,0.00254850,13461,0.00018426,0.00000000,0,0.00000000,5570,5716,174,0.00113032
1767983556.55037856,0.00690233,13468,0.00053786,0.00000000,0,0.00000000,5716,5820,169,0.00063903
1767983556.64988089,0.00468275,13430,0.00035905,0.00000000,0,0.00000000,5820,5900,138,0.00065826
1767983556.75077367,0.00960891,13630,0.00069183,0.00000000,0,0.00000000,5900,6025,205,0.00105435
1767983556.85030532,0.00349685,13518,0.00028158,0.00000000,0,0.00000000,6025,6094,134,0.00032426
1767983556.95117211,0.00784998,13715,0.00028981,0.00000000,0,0.00000000,6094,6195,191,0.00042656
1767983557.05069232,0.00772764,13582,0.00015432,0.00000000,0,0.00000000,6195,6278,124,0.00029968
1767983557.15023708,0.00430373,13568,0.00024599,0.00000000,0,0.00000000,6278,6312,127,0.00097248
1767983557.24997449,0.00548385,13529,0.00029763,0.00000000,0,0.00000000,6312,6352,97,0.00033718
1767983557.34930038,0.00472901,13423,0.00027971,0.00000000,0,0.00000000,6352,6388,88,0.00055707
1767983557.44879937,0.00628332,13347,0.00055052,0.00000000,0,0.00000000,6388,6399,123,0.00108087
1767983557.54832888,0.00496248,13300,0.00029080,0.00000000,0,0.00000000,6399,6442,91,0.00090455
1767983557.64786220,0.00903346,13329,0.00039872,0.00000000,0,0.00000000,6442,6461,63,0.00036244
1767983557.74872184,0.00263256,13447,0.00022351,0.00000000,0,0.00000000,6461,6438,59,0.00030096
1767983557.84829354,0.00887889,13330,0.00030333,0.00000000,0,0.00000000,6438,6487,68,0.00031775
1767983557.94914937,0.00755246,13509,0.00020446,0.00000000,0,0.00000000,6487,6510,39,0.00034253
1767983558.04868770,0.00891290,13250,0.00040987,0.00000000,0,0.00000000,6510,6553,76,0.00111906
1767983558.14957285,0.00872078,13405,0.00034522,0.00000000,0,0.00000000,6553,6576,58,0.00033994
1767983558.24894428,0.00878270,13139,0.00039715,0.00000000,0,0.00000000,6576,6595,54,0.00098777
1767983558.34990430,0.00935529,13302,0.00037196,0.00000000,0,0.00000000,6595,6638,73,0.00050107
1767983558.44945312,0.00989081,12984,0.00059515,0.00000000,0,0.00000000,6638,6667,66,0.00100355
1767983558.54900336,0.01081458,12889,0.00096472,0.00000000,0,0.00000000,6667,6677,115,0.00100185
1767983558.64982915,0.00847089,13039,0.00016683,0.00000000,0,0.00000000,6677,6721,117,0.00099233
1767983558.74913573,0.00529957,12777,0.00037190,0.00000000,0,0.00000000,6721,6760,103,0.00033718
1767983558.84888911,0.00717624,12706,0.00031433,0.00000000,0,0.00000000,6760,6787,73,0.00107549
